"STATION","NAME","DATE","DSND","DSNW","EMSD","EMSN","EMXP","PRCP","SNOW"
"US1CAYL0010","WOODLAND 2.8 SE, CA US","2013",,"0",,"0.0","31.8","108.4","0.0"
"US1CAYL0010","WOODLAND 2.8 SE, CA US","2014",,,,,"56.6","442.5",
"US1CAYL0010","WOODLAND 2.8 SE, CA US","2015",,,,,"31.5","171.3",
"US1CAYL0021","DAVIS 6.3 W, CA US","2015",,,,,"54.1","210.7",
"US1CAYL0001","DAVIS 1.2 SE, CA US","2009",,,,,"90.7","449.9",
"US1CAYL0001","DAVIS 1.2 SE, CA US","2010",,,,,"38.9","585.5",
"US1CAYL0001","DAVIS 1.2 SE, CA US","2012",,,,,"37.8","606.9",
"USC00049781","WOODLAND 1 WNW, CA US","2006","0","0","0","0.0","43.4","482.6","0.0"
"USC00049781","WOODLAND 1 WNW, CA US","2007","0","0","0","0.0","44.7","296.3","0.0"
"USC00049781","WOODLAND 1 WNW, CA US","2008","0","0","0","0.0","54.9","466.6","0.0"
"USC00049781","WOODLAND 1 WNW, CA US","2009","0","0","0","0.0","69.6","457.7","0.0"
"USC00049781","WOODLAND 1 WNW, CA US","2010","0","0","0","0.0","50.5","698.9","0.0"
"USC00049781","WOODLAND 1 WNW, CA US","2012",,,,,"60.5","619.9",
"USC00049781","WOODLAND 1 WNW, CA US","2014",,,,,"65.3","509.4",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2009",,,,,"79.2","411.7",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2010",,,,,"36.8","566.0",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2011",,,,,"33.5","435.4",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2012",,,,,"36.3","557.3",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2013",,,,,"32.8","152.9",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2014",,,,,"86.1","506.1",
"US1CAYL0002","DAVIS 0.8 NE, CA US","2015",,,,,"46.5","205.5",
"US1CAYL0007","DAVIS 6.1 WNW, CA US","2012",,,,,"43.2","531.3",
"US1CAYL0007","DAVIS 6.1 WNW, CA US","2013",,"0",,"0.0","18.5","86.6","0.0"
"US1CAYL0006","DAVIS 1.4 SSE, CA US","2010",,,,,"37.6","613.1",
"US1CAYL0006","DAVIS 1.4 SSE, CA US","2011",,,,,"30.0","457.2",
"US1CAYL0009","DAVIS 2.7 W, CA US","2011",,,,,"33.5","446.6",
"US1CAYL0009","DAVIS 2.7 W, CA US","2012",,,,,"46.5","557.1",
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2006","0","0","0","0.0","39.9","471.4","0.0"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2007","0","0","0","0.0","38.9","276.4","0.0"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2008","0","0","0","0.0","38.4","388.6","0.0"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2009","0","0","0","0.0","80.0","458.4","0.0"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2010","0","0","0","0.0","35.1","559.9","0.0"
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2011",,,,,"32.0","440.0",
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2012",,,,,"44.5","548.4",
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2013",,,,,"17.0","132.8",
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2014",,,,,"69.1","519.3",
"USC00042294","DAVIS 2 WSW EXPERIMENTAL FARM, CA US","2015",,,,,"48.5","199.6",
"USC00049742","WINTERS, CA US","2006","0","0","0","0.0","45.2","620.7","0.0"
"USC00049742","WINTERS, CA US","2007","0","0","0","0.0","43.7","303.8","0.0"
"USC00049742","WINTERS, CA US","2008","0","0","0","0.0","86.1","558.4","0.0"
"USC00049742","WINTERS, CA US","2009","0","0","0","0.0","70.6","505.0","0.0"
"USC00049742","WINTERS, CA US","2010","0","0","0","0.0","62.7","784.2","0.0"
"USC00049742","WINTERS, CA US","2013",,,,,"15.0","133.3",
"USC00049742","WINTERS, CA US","2014",,,,,"53.8","591.1",
"USC00049742","WINTERS, CA US","2015",,,,,"74.7","251.6",
