"","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"Barger",2,3,3,3,0,3,4,5,3,4
"Barn",0,0,0,3,4,0,3,5,3,0
"BC1",4,2,3,0,0,0,0,0,0,0
"BC2",0,3,3,3,0,3,4,4,3,0
"Berm",0,0,0,0,0,0,3,5,3,3
"Best",0,0,0,0,0,0,3,3,2,0
"Butler",4,3,3,3,0,3,4,5,3,4
"Chamberlain",0,3,3,3,0,2,3,4,1,2
"CircleG",0,0,0,3,0,0,4,5,2,0
"CR101",0,0,0,0,0,0,3,5,3,0
"CR101Control",0,0,0,0,0,0,1,5,2,0
"CR29",0,0,0,0,0,0,4,3,2,0
"DQU",4,3,2,2,0,3,4,5,2,4
"Fong",0,0,1,4,4,2,4,5,3,0
"FongWest",0,0,0,0,0,0,4,5,3,0
"Gilmer",0,0,0,0,0,0,4,4,0,2
"Gregory",0,3,3,3,0,3,4,5,3,4
"H16",4,3,2,3,0,3,3,5,2,4
"Harlan",0,0,0,3,0,2,4,5,3,0
"Hatanaka",0,0,0,4,0,0,2,3,1,0
"HC1",0,3,3,2,0,3,0,0,0,0
"Hrdy",0,3,3,3,0,3,4,5,3,4
"Joe",0,0,0,3,4,0,3,5,1,0
"Johnston",0,0,0,0,0,0,0,5,3,0
"Loop",0,0,0,0,0,0,0,5,3,0
"Maria",0,0,0,0,0,0,0,5,2,0
"MC1",0,3,3,3,0,3,4,2,0,2
"MullerB",2,3,3,3,0,3,4,5,3,4
"MullerM",0,0,0,0,4,2,6,4,3,0
"Oakdale",0,0,0,0,0,0,4,5,0,0
"RLong",0,0,0,0,0,0,3,5,3,0
"Rominger",0,0,0,4,4,2,4,5,3,3
"Sperandio",0,3,3,3,0,3,4,5,1,3
"Spiva",0,3,3,3,0,3,2,4,2,0
"Tractor",0,0,0,3,0,1,4,5,3,0
"Turkovich",3,3,3,3,0,3,4,5,3,4
"USS",4,3,3,2,0,3,3,4,1,0
"YoloAirport",0,0,0,0,0,0,4,5,2,0
"Zamora",0,0,0,0,4,0,4,4,3,0
